article_id,citation,year,title,region,study_context,study_type,main_regeneration_frame,root_terms_present,seed_terms_present,root_term_count_rough,seed_term_count_rough,root_terms_location,seed_terms_location,root_treatment_score,seed_treatment_score,root_framing,seed_framing,root_evidence_type,seed_evidence_type,does_article_assume_suckering,does_article_distinguish_seed_vs_sucker,compares_seed_and_sucker,genetic_validation,physical_validation,main_claim_about_regeneration,important_quote_root,important_quote_seed,page_root,page_seed,relevance_to_thesis,notes
AB_0145,Kitamura K.; Takasu H.; Hagiwara S.; Homma K.; O'Neill J.; Whigham D.F.; Kawano S. (2008). Demographic genetics of American beech (Fagus grandifolia Ehrh.) IV. Development of genetic variability and gene flow during succession in a coastal plain forest in Maryland,2008,Demographic genetics of American beech (Fagus grandifolia Ehrh.) IV. Development of genetic variability and gene flow during succession in a coastal plain forest in Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0146,Kitamura K.; Morita T.; Kudo H.; O'Neill J.; Utech F.H.; Whigham D.F.; Kawano S. (2003). Demographic genetics of the American beech (Fagus grandifolia Ehrh.) III. Genetic substructuring of coastal plain population in Maryland,2003,Demographic genetics of the American beech (Fagus grandifolia Ehrh.) III. Genetic substructuring of coastal plain population in Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0147,"Kitamura K.; Homma K.; Takasu H.; Hagiwara S.; Utech F.H.; Whigham D.F.; Kawano S. (2001). Demographic genetics of the American beech, Fagus grandifolia. Ii. Genet substructure of populations for the blue ridge, piedmont and the Great Smoky Mountains",2001,"Demographic genetics of the American beech, Fagus grandifolia. Ii. Genet substructure of populations for the blue ridge, piedmont and the Great Smoky Mountains",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0148,Kitamura K.; Kawano S. (1996). Demographic genetics of tree metapopulation - A case study of Fagus crenata and Fagus grandifolia-,1996,Demographic genetics of tree metapopulation - A case study of Fagus crenata and Fagus grandifolia-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0149,Conrod C.A.; Reitsma L. (2015). Demographic Responses of Myomorph Rodents to Mast Production in a Beech-and Birch-Dominated Northern Hardwood Forest,2015,Demographic Responses of Myomorph Rodents to Mast Production in a Beech-and Birch-Dominated Northern Hardwood Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0150,Batista W.B.; Platt W.J.; Macchiavellli R.E. (1998). Demography of a shade-tolerant tree (Fagus grandifolia) in a hurricane-disturbed forest,1998,Demography of a shade-tolerant tree (Fagus grandifolia) in a hurricane-disturbed forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0151,Cho D.-S.; Boerner R.E.J. (1995). Dendrochronological analysis of the canopy history of two Ohio old-growth forests,1995,Dendrochronological analysis of the canopy history of two Ohio old-growth forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0152,"Schooley R.L.; McLaughlin C.R.; Matula Jnr G.J.; Krohn W.B. (1994). Denning chronology of female black bears: Effects of food, weather, and reproduction",1994,"Denning chronology of female black bears: Effects of food, weather, and reproduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0153,"Schooley R.L.; McLaughlin C.R.; Matula Jr. G.J.; Krohn W.B. (1999). Denning chronology of female black bears: effects of food, weather, and reproduction",1999,"Denning chronology of female black bears: effects of food, weather, and reproduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0154,Goebel P.C.; Hix D.M.; Jones J.W. (1996). Development of mixed-oak forests in southeastern Ohio: A comparison of second-growth and old-growth forests,1996,Development of mixed-oak forests in southeastern Ohio: A comparison of second-growth and old-growth forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0155,"Burke D.J.; Hoke A.J.; Reed S.; Martin D.; Carrino-Kyker S.R.; Pitts M.C.; Battagin S. (2023). Development of Primers Specific for Detection of Litylenchus crenatae, the Causal Agent of Beech Leaf Disease, in Plant Tissue",2023,"Development of Primers Specific for Detection of Litylenchus crenatae, the Causal Agent of Beech Leaf Disease, in Plant Tissue",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0156,"Cepek J.D. (2004). Diet composition of coyotes in the Cuyahoga Valley National Park, Ohio",2004,"Diet composition of coyotes in the Cuyahoga Valley National Park, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0157,Melancon S.; Lechowicz M.J. (1987). Differences in the damage caused by glaze ice on codominant Acer saccharum and Fagus grandifolia.,1987,Differences in the damage caused by glaze ice on codominant Acer saccharum and Fagus grandifolia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0158,Halman J.M.; Schaberg P.G.; Hawley G.J.; Hansen C.F.; Fahey T.J. (2014). Differential impacts of calcium and aluminum treatments on sugar maple and American beech growth dynamics,2014,Differential impacts of calcium and aluminum treatments on sugar maple and American beech growth dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0159,Royo A.A.; Carson W.P. (2008). Direct and indirect effects of a dense understory on tree seedling recruitment in temperate forests: Habitat-mediated predation versus competition,2008,Direct and indirect effects of a dense understory on tree seedling recruitment in temperate forests: Habitat-mediated predation versus competition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0160,Johnson V.C.; Adkisson C.S. (1985). Dispersal of beech nuts by blue jays in fragmented landscapes.,1985,Dispersal of beech nuts by blue jays in fragmented landscapes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0161,Davis M.B.; Woods K.D.; Webb S.L.; Futyma R.P. (1986). Dispersal versus climate: Expansion of Fagus and Tsuga into the Upper Great Lakes region,1986,Dispersal versus climate: Expansion of Fagus and Tsuga into the Upper Great Lakes region,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0162,Cleavitt N.L.; Battles J.J.; Fahey T.J.; van Doorn N.S. (2021). Disruption of the competitive balance between foundational tree species by interacting stressors in a temperate deciduous forest,2021,Disruption of the competitive balance between foundational tree species by interacting stressors in a temperate deciduous forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0163,Busby P.E.; Motzkin G.; Hall B. (2009). Distribution and dynamics of American beech in coastal southern New England,2009,Distribution and dynamics of American beech in coastal southern New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0164,"Schwadron P.A. (1995). Distribution and persistence of American chestnut sprouts, Castanea dentata [Marsh.] Borkh., in northeastern Ohio woodlands",1995,"Distribution and persistence of American chestnut sprouts, Castanea dentata [Marsh.] Borkh., in northeastern Ohio woodlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0165,Williams-Linera G.; Rowden A.; Newton A.C. (2002). Distribution and stand characteristics of relict populations of Mexican beech (Fagus grandifolia var. mexicana),2002,Distribution and stand characteristics of relict populations of Mexican beech (Fagus grandifolia var. mexicana),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0166,Wieferich D.J.; McCullough D.G.; Hayes D.B.; Schwalm N.J. (2011). Distribution of American beech (Fagus grandifolia) and beech scale (cryptococcus fagisuga Lind.) in michigan from 2005 to 2009,2011,Distribution of American beech (Fagus grandifolia) and beech scale (cryptococcus fagisuga Lind.) in michigan from 2005 to 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0167,"Pfeil E.K.; Casacchia N.; Kerns G.J.; Diggins T.P. (2007). Distribution, composition, and orientation of down deadwood in riparian old-growth woodlands of Zoar Valley Canyon, western New York State, USA",2007,"Distribution, composition, and orientation of down deadwood in riparian old-growth woodlands of Zoar Valley Canyon, western New York State, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0168,"Foster D.R. (1988). Disturbance history, community organization and vegetation dynamics of the old-growth Pisgah Forest, south-western New Hampshire, USA",1988,"Disturbance history, community organization and vegetation dynamics of the old-growth Pisgah Forest, south-western New Hampshire, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0169,"Asahina H.; Lee T.D.; Eckert R.T. (2014). Disturbance-mediated dynamics of mid-tolerant hardwoods in an old pine-hemlock-hardwood forest, New Hampshire, USA",2014,"Disturbance-mediated dynamics of mid-tolerant hardwoods in an old pine-hemlock-hardwood forest, New Hampshire, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0170,Boisvert-Marsh L.; Périé C.; de Blois S. (2019). Divergent responses to climate change and disturbance drive recruitment patterns underlying latitudinal shifts of tree species,2019,Divergent responses to climate change and disturbance drive recruitment patterns underlying latitudinal shifts of tree species,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0171,Doroski D.A.; Bradford M.A.; Duguid M.C.; Hallett R.A.; Pregitzer C.C.; Ashton M.S. (2022). Diverging conditions of current and potential future urban forest patches,2022,Diverging conditions of current and potential future urban forest patches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0172,Larrivée M.; Buddle C.M. (2009). Diversity of canopy and understorey spiders in north-temperate hardwood forests,2009,Diversity of canopy and understorey spiders in north-temperate hardwood forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0173,Parsons W.F.J.; Ghotsa Mekontchou C.; Shovon T.A.; Maheu A.; Rivest D. (2025). Do drought and understory beech interact to influence the nutrition and growth of sugar maple?,2025,Do drought and understory beech interact to influence the nutrition and growth of sugar maple?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0174,Takahashi K.; Lechowicz M.J. (2008). Do interspecific differences in sapling growth traits contribute to the co-dominance of Acer saccharum and Fagus grandifolia?,2008,Do interspecific differences in sapling growth traits contribute to the co-dominance of Acer saccharum and Fagus grandifolia?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0175,Ricard J.-P.; Messier C.; Delagrange S.; Beaudet M. (2003). Do understory sapling respond to both light and below-ground competition?: A field experiment in a north-eastern American hardwood forest and a literature review,2003,Do understory sapling respond to both light and below-ground competition?: A field experiment in a north-eastern American hardwood forest and a literature review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0176,Busby P.; Motzkin G. (2009). Dwarf beech forests in coastal New England: Topographic and edaphic controls on variation in forest structure,2009,Dwarf beech forests in coastal New England: Topographic and edaphic controls on variation in forest structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0177,Farrar A.; Ostrofsky W.D. (2006). Dynamics of American beech regeneration 10 years following harvesting in a beech bark disease-affected stand in Maine,2006,Dynamics of American beech regeneration 10 years following harvesting in a beech bark disease-affected stand in Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0178,Bouffard J.; Garant D.; Bergeron P. (2020). Dynamics of ground-nest egg depredation by rodents in a mixed-wood forest,2020,Dynamics of ground-nest egg depredation by rodents in a mixed-wood forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0179,Courcot B.; Lemire D.; Bélanger N. (2024). Dynamics of soil water potential as a function of stand types in a temperate forest: Emphasis on flash droughts,2024,Dynamics of soil water potential as a function of stand types in a temperate forest: Emphasis on flash droughts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0180,Monette R.; Ware S. (1983). Early forest succession in the Virginia Coastal Plain.,1983,Early forest succession in the Virginia Coastal Plain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0181,Kupfer J.A.; Runkle J.R. (1996). Early gap successional pathways in a Fagus-Acer forest preserve: Pattern and determinants,1996,Early gap successional pathways in a Fagus-Acer forest preserve: Pattern and determinants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0182,D’Amato A.W.; Catanzaro P.F.; Fletcher L.S. (2015). Early regeneration and structural responses to patch selection and structural retention in second-growth northern hardwoods,2015,Early regeneration and structural responses to patch selection and structural retention in second-growth northern hardwoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0183,Roy M.-È.; Nolet P. (2018). Early-stage of invasion by beech bark disease does not necessarily trigger American beech root sucker establishment in hardwood stands,2018,Early-stage of invasion by beech bark disease does not necessarily trigger American beech root sucker establishment in hardwood stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0184,"Liptzin D.; Ashton P.M.S. (1999). Early-successional dynamics of single-aged mixed hardwood stands in a southern New England forest, USA",1999,"Early-successional dynamics of single-aged mixed hardwood stands in a southern New England forest, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0185,"Gregory Corace III R.; Charles Goebel P.; Hix D.M.; Casselman T.; Seefelt N.E. (2009). Ecological forestry at national wildlife refuges: Experiences from seney national wildlife refuge and kirtland's warbler wildlife management area, USA",2009,"Ecological forestry at national wildlife refuges: Experiences from seney national wildlife refuge and kirtland's warbler wildlife management area, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0186,Bose A.K.; Wagner R.G.; Weiskittel A.R.; D'Amato A.W. (2021). Effect magnitudes of operational-scale partial harvesting on residual tree growth and mortality of ten major tree species in Maine USA,2021,Effect magnitudes of operational-scale partial harvesting on residual tree growth and mortality of ten major tree species in Maine USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0187,Beaudet M.; Brisson J.; Gravel D.; Messier C. (2007). Effect of a major canopy disturbance on the coexistence of Acer saccharum and Fagus grandifolia in the understorey of an old-growth forest,2007,Effect of a major canopy disturbance on the coexistence of Acer saccharum and Fagus grandifolia in the understorey of an old-growth forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0188,Glover L.M.; Volponi S.N.; Royo A.A.; Johnstone-Yellin T.L. (2024). Effect of Herbivory on the Nutritional Value of Six Hardwood Species for White-Tailed Deer in the Allegheny Forest,2024,Effect of Herbivory on the Nutritional Value of Six Hardwood Species for White-Tailed Deer in the Allegheny Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0189,Thurston S.W.; Krasny M.E.; Martin C.W.; Fahey T.J. (1992). Effect of site characteristics and 1st- and 2nd-year seedling densities on forest development in a northern hardwood forest,1992,Effect of site characteristics and 1st- and 2nd-year seedling densities on forest development in a northern hardwood forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0190,Rhoads A.G.; Hamburg S.P.; Fahey T.J.; Siccama T.G.; Hane E.N.; Battles J.; Cogbill C.; Randall J.; Wilson G. (2002). Effects of an intense ice storm on the structure of a northern hardwood forest,2002,Effects of an intense ice storm on the structure of a northern hardwood forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0191,Papaik M.J.; Canham C.D.; Latty E.F.; Woods K.D. (2005). Effects of an introduced pathogen on resistance to natural disturbance: Beech bark disease and windthrow,2005,Effects of an introduced pathogen on resistance to natural disturbance: Beech bark disease and windthrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0192,"Forrester J.A.; McGee G.G.; Mitchell M.J. (2003). Effects of beech bark disease on aboveground biomass and species composition in a mature northern hardwood forest, 1985 to 2000",2003,"Effects of beech bark disease on aboveground biomass and species composition in a mature northern hardwood forest, 1985 to 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0193,Gavin D.G.; Peart D.R. (1993). Effects of beech bark disease on the growth of American beech (Fagus grandifolia),1993,Effects of beech bark disease on the growth of American beech (Fagus grandifolia),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0194,Reid C.D.; Strain B.R. (1994). Effects of CO2 enrichment on whole-plant carbon budget of seedlings of Fagus grandifolia and Acer saccharum in low irradiance,1994,Effects of CO2 enrichment on whole-plant carbon budget of seedlings of Fagus grandifolia and Acer saccharum in low irradiance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0195,Rossell Jr. C.R.; Patch S.; Salmons S. (2007). Effects of deer browsing on native and non-native vegetation in a mixed oak-beech forest on the atlantic coastal plain,2007,Effects of deer browsing on native and non-native vegetation in a mixed oak-beech forest on the atlantic coastal plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0196,Danyagri G.; Baral S.K.; Pelletier G. (2019). Effects of disturbance and site factors on sapling dynamics and species diversity in northern hardwood stands,2019,Effects of disturbance and site factors on sapling dynamics and species diversity in northern hardwood stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0197,Deming L.S.; Gage S.F. (1999). Effects of forest practices on the wildlife and ecology of the northern forest,1999,Effects of forest practices on the wildlife and ecology of the northern forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0198,Brownlee M.B.; Bergeron P.; Réale D.; Garant D. (2025). Effects of home range size and burrow fidelity on survival and reproduction in eastern chipmunks (Tamias striatus) across different environmental contexts,2025,Effects of home range size and burrow fidelity on survival and reproduction in eastern chipmunks (Tamias striatus) across different environmental contexts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0199,"Brissette J.C. (1996). Effects of intensity and frequency of harvesting on abundance, stocking and composition of natural regeneration in the Acadian Forest of eastern North America",1996,"Effects of intensity and frequency of harvesting on abundance, stocking and composition of natural regeneration in the Acadian Forest of eastern North America",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0200,"Messier C.; Nikinmaa E. (2000). Effects of light availability and sapling size on the growth, biomass allocation, and crown morphology of understory sugar maple, yellow birch, and beech",2000,"Effects of light availability and sapling size on the growth, biomass allocation, and crown morphology of understory sugar maple, yellow birch, and beech",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0201,Forrester J.A.; Bohn K.K. (2007). Effects of mechanical site preparation on the abundance and diversity of ground-layer vegetation in adirondack northern hardwood stands,2007,Effects of mechanical site preparation on the abundance and diversity of ground-layer vegetation in adirondack northern hardwood stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0202,Brose P.; Van Lear D. (1999). Effects of Seasonal Prescribed Fires on Residual Overstory Trees in Oak-Dominated Shelterwood Stands,1999,Effects of Seasonal Prescribed Fires on Residual Overstory Trees in Oak-Dominated Shelterwood Stands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0203,Burke D.J.; Carrino-Kyker S.R.; Hoke A.J.; Galloway E.; Martin D.; Chick L. (2024). Effects of the nematode Litylenchus crenatae subsp. mccannii and beech leaf disease on leaf fungal and bacterial communities on Fagus grandifolia (American beech),2024,Effects of the nematode Litylenchus crenatae subsp. mccannii and beech leaf disease on leaf fungal and bacterial communities on Fagus grandifolia (American beech),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0204,"Reinhart K.O.; Johnson D.; Clay K. (2012). Effects of trees on their recruits in the southern Appalachians, USA",2012,"Effects of trees on their recruits in the southern Appalachians, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0205,Cleavitt N.L.; Fahey T.J.; Montague M.S.; Battles J.J.; Box O.F.; Matthes J.H. (2022). Enemy release from beech bark disease coincides with upslope shift of American beech,2022,Enemy release from beech bark disease coincides with upslope shift of American beech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0206,Zarfos M.R.; Lawrence G.B.; Beier C.M.; Page B.D.; McDonnell T.C.; Sullivan T.J.; Garrison-Johnston M.T.; Dovciak M. (2024). Environmental Change Drivers Reduce Sapling Layer Diversity in Sugar Maple-Beech Forests of Eastern North America: Environmental change and forest sapling layer : M. R. Zarfos and others,2024,Environmental Change Drivers Reduce Sapling Layer Diversity in Sugar Maple-Beech Forests of Eastern North America: Environmental change and forest sapling layer : M. R. Zarfos and others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0207,Ashraf M.I.; Bourque C.P.-A.; MacLean D.A.; Erdle T.; Meng F.-R. (2015). Estimation of potential impacts of climate change on growth and yield of temperate tree species,2015,Estimation of potential impacts of climate change on growth and yield of temperate tree species,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0208,Gunn J.S.; Ducey M.J.; Belair E. (2019). Evaluating degradation in a North American temperate forest,2019,Evaluating degradation in a North American temperate forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0209,"Krueger L.M.; Peterson C.J.; Royo A.; Carson W.P. (2009). Evaluating relationships among tree growth rate, shade tolerance, and browse tolerance following disturbance in an eastern deciduous forest",2009,"Evaluating relationships among tree growth rate, shade tolerance, and browse tolerance following disturbance in an eastern deciduous forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0210,Royo A.A.; Peterson C.J.; Stanovick J.S.; Carson W.P. (2016). Evaluating the ecological impacts of salvage logging: Can natural and anthropogenic disturbances promote coexistence?,2016,Evaluating the ecological impacts of salvage logging: Can natural and anthropogenic disturbances promote coexistence?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0211,"Cuprewich S.A.; Saunders M.R. (2024). Evaluating the impact of prescribed surface fire on seedlings in the Central Hardwood Region, USA",2024,"Evaluating the impact of prescribed surface fire on seedlings in the Central Hardwood Region, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0212,Guillemette F.; Bédard S.; Fortin M. (2008). Evaluation of a tree classification system in relation to mortality risk in Québec northern hardwoods,2008,Evaluation of a tree classification system in relation to mortality risk in Québec northern hardwoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0213,Rubino D.L.; McCarthy B.C. (2003). Evaluation of coarse woody debris and forest vegetation across topographic gradients in a southern Ohio forest,2003,Evaluation of coarse woody debris and forest vegetation across topographic gradients in a southern Ohio forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0214,Wieferich D.J.; Hayes D.B.; McCullough D.G. (2013). Evaluation of digital photography for quantifying Cryptococcus fagisuga (Hemiptera: Eriococcidae) density on American beech trees,2013,Evaluation of digital photography for quantifying Cryptococcus fagisuga (Hemiptera: Eriococcidae) density on American beech trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0215,Ramirez M.; Loo J.; Krasowski M.J. (2007). Evaluation of resistance to the beech scale insect (Cryptococcus fagisuga) and propagation of American beech (Fagus grandifolia) by grafting,2007,Evaluation of resistance to the beech scale insect (Cryptococcus fagisuga) and propagation of American beech (Fagus grandifolia) by grafting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0216,"Moise E.R.D.; Forbes G.B.H.; Morrison A.; Sweeney J.D.; Hillier N.K.; Johns R.C. (2015). Evidence for a substantial host-use bottleneck following the invasion of an exotic, polyphagous weevil",2015,"Evidence for a substantial host-use bottleneck following the invasion of an exotic, polyphagous weevil",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0217,"Murphy S.J.; McCarthy B.C. (2012). Evidence for topographic control of tree spatial patterning in an old-growth, mixed mesophytic forest in Southeastern Ohio, USA",2012,"Evidence for topographic control of tree spatial patterning in an old-growth, mixed mesophytic forest in Southeastern Ohio, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0218,Bigelow S.W.; Canham C.D. (2010). Evidence that soil aluminum enforces site fidelity of Southern New England forest trees,2010,Evidence that soil aluminum enforces site fidelity of Southern New England forest trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0219,Coe N.; Mulder O.; Mulder K. (2023). Examining the Effect of Beech Bark Disease on Radial Growth in American Beech,2023,Examining the Effect of Beech Bark Disease on Radial Growth in American Beech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0220,Frigoletto E.; Wylie P.; Pasquini S.C.; Carson W.P. (2017). Excluding deer increases the proportion of beech saplings originating from seed versus those of root sprout origin1,2017,Excluding deer increases the proportion of beech saplings originating from seed versus those of root sprout origin1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0221,Alvarez-Aquino C.; Williams-Linera G.; Newton A.C. (2004). Experimental native tree seedling establishment for the restoration of a Mexican cloud forest,2004,Experimental native tree seedling establishment for the restoration of a Mexican cloud forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0222,Marlow J.; Peart D.R. (2014). Experimental reversal of soil acidification in a deciduous forest: Implications for seedling performance and changes in dominance of shade-tolerant species,2014,Experimental reversal of soil acidification in a deciduous forest: Implications for seedling performance and changes in dominance of shade-tolerant species,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0223,Bélanger N.; Chaput-Richard C. (2023). Experimental Warming of Typically Acidic and Nutrient-Poor Boreal Soils Does Not Affect Leaf-Litter Decomposition of Temperate Deciduous Tree Species,2023,Experimental Warming of Typically Acidic and Nutrient-Poor Boreal Soils Does Not Affect Leaf-Litter Decomposition of Temperate Deciduous Tree Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0224,"Loyd A.L.; Cowles R.S.; Borden M.A.; Lamondia J.A.; Mitkowski N.; Faubert H.; Burke D.; Hausman C.; Volk D.; Littlejohn C.; Stiller A.; Rigsby C.M.; Brantley B.; Fite K. (2024). Exploring Novel Management Methods for Beech Leaf Disease, an Emerging Threat to Forests and Landscapes",2024,"Exploring Novel Management Methods for Beech Leaf Disease, an Emerging Threat to Forests and Landscapes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0225,Kochenderfer J.D.; Kochenderfer J.N.; Miller G.W. (2013). Extending the time interval for applying herbicide in cut-stump treatments on american beech,2013,Extending the time interval for applying herbicide in cut-stump treatments on american beech,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0226,"Munro D.; Thomas D.W.; Humphries M.M. (2008). Extreme suppression of aboveground activity by a food-storing hibernator, the eastern chipmunk (Tamias striatus)",2008,"Extreme suppression of aboveground activity by a food-storing hibernator, the eastern chipmunk (Tamias striatus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0227,Yaddanapudi H.S.; Hickerson N.; Saini S.; Tiwari A. (2017). Fabrication and characterization of transparent wood for next generation smart building applications,2017,Fabrication and characterization of transparent wood for next generation smart building applications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0228,Fiorentino V.L.; Murphy S.M.; Stoepler T.M.; Lill J.T. (2014). Facilitative effects of group feeding on performance of the saddleback caterpillar (Lepidoptera: Limacodidae),2014,Facilitative effects of group feeding on performance of the saddleback caterpillar (Lepidoptera: Limacodidae),,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0229,Harcombe P.A.; White B.D.; Glitzenstein J.S. (1982). Factors influencing distribution and first-year survivorship of a cohort of beech ( Fagus grandifolia Ehrh.) ( Texas).,1982,Factors influencing distribution and first-year survivorship of a cohort of beech ( Fagus grandifolia Ehrh.) ( Texas).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0230,Bradshaw R.H.W.; Kito N.; Giesecke T. (2010). Factors influencing the Holocene history of Fagus,2010,Factors influencing the Holocene history of Fagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0231,Hewitt N.; Kellman M. (2004). Factors influencing tree colonization in fragmented forests: An experimental study of introduced seeds and seedlings,2004,Factors influencing tree colonization in fragmented forests: An experimental study of introduced seeds and seedlings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0232,"Leak W.B. (2006). Fifty-year impacts of the beech bark disease in the bartlett experimental forest, New Hampshire",2006,"Fifty-year impacts of the beech bark disease in the bartlett experimental forest, New Hampshire",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0233,Mathiasen P.; Premoli A.C. (2013). Fine-scale genetic structure of Nothofagus pumilio (lenga) at contrasting elevations of the altitudinal gradient,2013,Fine-scale genetic structure of Nothofagus pumilio (lenga) at contrasting elevations of the altitudinal gradient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0234,"Vallano D.M.; Sparks J.P. (2013). Foliar δ15N is affected by foliar nitrogen uptake, soil nitrogen, and mycorrhizae along a nitrogen deposition gradient",2013,"Foliar δ15N is affected by foliar nitrogen uptake, soil nitrogen, and mycorrhizae along a nitrogen deposition gradient",,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB_0235,Lemaître J.; Villard M.-A. (2005). Foraging patterns of pileated woodpeckers in a managed Acadian forest: A resource selection function,2005,Foraging patterns of pileated woodpeckers in a managed Acadian forest: A resource selection function,,,,,,,,,,,,,,,,,,,,,,,,,,,,
